0x95B6	0xE7B0
0x95B8	0xE7B2
0x95B9	0xE7B3
0x95BB	0xE7B5
0x95BC	0xE7B6
0x95BD	0xE7B7
0x95BF	0xE7B9
0x95C0	0xE7BA
0x95C1	0xE7BB
0x95C3	0xE7BD
0x95C4	0xE7BE
0x95C5	0xE7BF
0x95C6	0xE7C0
0x95C7	0xE7C1
0x95C8	0xE7C2
0x95C9	0xE7C3
0x95CB	0xE7C5
0x95CC	0xE7C6
0x95CD	0xE7C7
0x95CE	0xE7C8
0x95CF	0xE7C9
0x95D1	0xE7CB
0x95D2	0xE7CC
0x95D3	0xE7CD
0x95D5	0xE7CF
0x95D6	0xE7D0
0x95D8	0xE7D2
0x95DA	0xE7D4
0x95DB	0xE7D5
0x95DC	0xE7D6
0x95DD	0xE7D7
0x95DF	0xE7D9
0x95E1	0xE7DB
0x95E4	0xE7DE
0x95E5	0xE7DF
0x95E6	0xE7E0
0x95E7	0xE7E1
0x95E8	0xE7E2
0x95E9	0xE7E3
0x95EB	0xE7E5
0x95EC	0xE7E6
0x95F0	0xE7EA
0x95F2	0xE7EC
0x95F6	0xE7F0
0x95FA	0xE7F4
0x95FB	0xE7F5
0x95FC	0xE7F6
0x95FD	0xE7F7
0x9640	0xE7F9
0x9641	0xE7FA
0x9645	0xE7FE
0x964A	0xE803
0x964B	0xE804
0x964C	0xE805
0x964D	0xE806
0x964E	0xE807
0x9650	0xE809
0x9651	0xE80A
0x9652	0xE80B
0x9654	0xE80D
0x9657	0xE810
0x9659	0xE812
0x965B	0xE814
0x965C	0xE815
0x9660	0xE819
0x9662	0xE81B
0x9663	0xE81C
0x9664	0xE81D
0x9665	0xE81E
0x9666	0xE81F
0x9667	0xE820
0x9669	0xE822
0x966A	0xE823
0x966B	0xE824
